Estoy	O
enferma	O
y	O
dejaron	O
de	O
pagarme	O
mi	O
sueldo	O
bien	O
ahi	O
sindicato	O
de	O
comercio	O
#carlosperez	O
#	O
endometriosis	B-MISC
#	O
fibromialgia	B-MISC
#	O
artritis	B-MISC
#soycomercio	O
	
Ok	O
chicas	O
.	O
.	O
hoy	O
vamos	O
a	O
hablar	O
de	O
ventriculomegalia	B-MISC
(	O
hidrocefalia	B-MISC
)	O
La	O
ventriculomegalia	B-MISC
esa	O
es	O
el	O
agrandamiento	B-MISC
de	I-MISC
los	I-MISC
ventrículos	I-MISC
cerebrales	I-MISC
que	O
nosotros	O
podemos	O
ver	O
por	O
ecografía	O
en	O
el…	O
	
AUTOESTIMA	O
Y	O
ANSIEDAD	O
!	O
La	O
ansiedad	B-MISC
,	O
la	O
depresión	B-MISC
,	O
son	O
dos	O
trastornos	B-MISC
emocionales	I-MISC
graves	I-MISC
,	O
muy	O
graves	O
,	O
a	O
todos	O
nos	O
pueden	O
llegar	O
en	O
cualquier	O
momento	O
de	O
nuestras	O
vidas	O
y	O
por	O
muchas…	O
	
El	O
#	O
tabaquismo	B-MISC
está	O
detrás	O
de	O
un	O
alto	O
porcentaje	O
de	O
casos	O
de	O
cáncer	B-MISC
y	O
enfermedades	B-MISC
cardiovasculares	I-MISC
.	O
En	O
@soymamitech	O
nos	O
cuidamos	O
h	O
te	O
cuidamos	O
.	O
Por	O
eso	O
,	O
os	O
ayudamos	O
a	O
dejar	O
de	O
fumar	B-MISC
y	O
a	O
cuidarte	O
con	O
la	O
app	O
#Sacabó	O
#DiaMundialContraEl	O
Cancer	B-MISC
	
Hoy	O
,	O
Día	O
mundial	O
contra	O
el	O
cáncer	B-MISC
,	O
hemos	O
salido	O
en	O
televisión	O
Valenciana	O
donde	O
nos	O
han	O
permitido	O
dar	O
visibilidad	O
al	O
Cáncer	B-MISC
de	I-MISC
mama	I-MISC
metastásico	I-MISC
y	O
depositar	O
nuestras	O
esperanzas	O
en	O
la	O
cronificacion	O
de	O
la	O
enfermedad	O
#másinvestigaciónparamásvida	O
	
Queremos	O
ponerle	O
rostro	O
a	O
la	O
#	O
diabetes	B-MISC
:	O
Steve	O
Redgrave	O
,	O
atleta	O
británico	O
con	O
